Timestamp,Level,Source,Message,Exception
2025-10-23T11:30:01.2428474,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0, Текущее состояние=IdleZero",
2025-10-23T11:30:01.1448774,Information,Scalemon.SignalBus.SignalBus,Отправка команды на Arduino: Idle (0x12),
2025-10-23T11:30:01.1390353,Information,Scalemon.SignalBus.SignalBus,Отправка команды на Arduino: Unstable (0x13),
2025-10-23T11:30:01.1332912,Information,Scalemon.FSM.PlateauZeroStateMachine,→ IdleZero,
2025-10-23T11:30:01.1275495,Debug,Scalemon.FSM.PlateauZeroStateMachine,FSM: Переход из [PostUnload] в [IdleZero],
2025-10-23T11:30:01.1218011,Information,Scalemon.SqlDataAccess.SqlDataAccess,Записано взвешивание: 14.46,
2025-10-23T11:30:01.1099172,Information,Scalemon.FSM.PlateauZeroStateMachine,"Запись взвешивания: net=14.46kg (peak=14.46, tail=0, flags=None)",
2025-10-23T11:30:01.1008467,Debug,Scalemon.FSM.PlateauZeroStateMachine,→ PostUnload,
2025-10-23T11:30:01.0921650,Debug,Scalemon.FSM.PlateauZeroStateMachine,FSM: Переход из [AwaitUnload] в [PostUnload],
2025-10-23T11:30:01.0829041,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0, Текущее состояние=AwaitUnload",
2025-10-23T11:30:00.9905615,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=0, Текущее состояние=AwaitUnload",
2025-10-23T11:30:00.9862680,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:30:00.8905544,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:30:00.7793648,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:30:00.6834063,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0.14, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:30:00.5874500,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=0.62, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:30:00.4913210,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=3.1, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:30:00.3795839,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=3.1, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:30:00.2833231,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=6.22, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:30:00.1876201,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=9.6, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:30:00.0911379,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=9.6, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:29:59.9797558,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=11.42, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:29:59.8837829,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=13.68, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:29:59.7877814,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.2, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:29:59.6913465,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.42, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:29:59.5799786,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:29:59.4840109,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.46, Стабилен=False, Подключено=True, Авария=False",
